title,authors,abstract,pdf_url,year
Multi-Robot Collision Avoidance under Uncertainty with Probabilistic Safety Barrier Certificates,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/03793ef7d06ffd63d34ade9d091f1ced-Paper.pdf,2020
Deterministic Approximation for Submodular Maximization over a Matroid in Nearly Linear Time,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/05128e44e27c36bdba71221bfccf735d-Paper.pdf,2020
Efficient Variational Inference for Sparse Deep Learning with Theoretical Guarantee,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/05a624166c8eb8273b8464e8d9cb5bd9-Paper.pdf,2020
Learning Manifold Implicitly via Explicit Heat-Kernel Learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/05e2a0647e260c355dd2b2175edb45b8-Paper.pdf,2020
Simultaneous Preference and Metric Learning from Paired Comparisons,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0561bc7ecba98e39ca7994f93311ba23-Paper.pdf,2020
Flows for simultaneous manifold learning and density estimation,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/051928341be67dcba03f0e04104d9047-Paper.pdf,2020
Deep Relational Topic Modeling via Graph Poisson Gamma Belief Network,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/05ee45de8d877c3949760a94fa691533-Paper.pdf,2020
One-bit Supervision for Image Classification,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/05f971b5ec196b8c65b75d2ef8267331-Paper.pdf,2020
Submodular Maximization Through Barrier Functions,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/061412e4a03c02f9902576ec55ebbe77-Paper.pdf,2020
What is being transferred in transfer learning?,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0607f4c705595b911a4f3e7a127b44e0-Paper.pdf,2020
Learning to Extrapolate Knowledge: Transductive Few-shot Out-of-Graph Link Prediction,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0663a4ddceacb40b095eda264a85f15c-Paper.pdf,2020
Neural Networks with Recurrent Generative Feedback,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0660895c22f8a14eb039bfb9beb0778f-Paper.pdf,2020
Improving Inference for Neural Image Compression,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/066f182b787111ed4cb65ed437f0855b-Paper.pdf,2020
FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/06964dce9addb1c5cb5d6e3d9838f733-Paper.pdf,2020
Exploiting weakly supervised visual patterns to learn from partial annotations,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/066ca7bf90807fcd8e4f1eaef4e4e8f7-Paper.pdf,2020
Neuron Merging: Compensating for Pruned Neurons,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0678ca2eae02d542cc931e81b74de122-Paper.pdf,2020
Rankmax: An Adaptive Projection Alternative to the Softmax Function,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/070dbb6024b5ef93784428afc71f2146-Paper.pdf,2020
Online Agnostic Boosting via Regret Minimization,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/07168af6cb0ef9f78dae15739dd73255-Paper.pdf,2020
Reinforcement Learning with Combinatorial Actions: An Application to Vehicle Routing,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/06a9d51e04213572ef0720dd27a84792-Paper.pdf,2020
Causal Intervention for Weakly-Supervised Semantic Segmentation,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/07211688a0869d995947a8fb11b215d6-Paper.pdf,2020
Belief Propagation Neural Networks,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/07217414eb3fbe24d4e5b6cafb91ca18-Paper.pdf,2020
Over-parameterized Adversarial Training: An Analysis Overcoming the Curse of Dimensionality,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0740bb92e583cd2b88ec7c59f985cb41-Paper.pdf,2020
Post-training Iterative Hierarchical Data Augmentation for Deep Networks,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/074177d3eb6371e32c16c55a3b8f706b-Paper.pdf,2020
Towards Playing Full MOBA Games with Deep Reinforcement Learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/06d5ae105ea1bea4d800bc96491876e9-Paper.pdf,2020
Fairness without Demographics through Adversarially Reweighted Learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/07fc15c9d169ee48573edd749d25945d-Paper.pdf,2020
Stochastic Latent Actor-Critic: Deep Reinforcement Learning with a Latent Variable Model,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/08058bf500242562c0d031ff830ad094-Paper.pdf,2020
Deep reconstruction of strange attractors from time series,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/021bbc7ee20b71134d53e20206bd6feb-Paper.pdf,2020
Robust compressed sensing using generative models,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/07cb5f86508f146774a2fac4373a8e50-Paper.pdf,2020
Ridge Rider: Finding Diverse Solutions by Following Eigenvectors of the Hessian,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/08425b881bcde94a383cd258cea331be-Paper.pdf,2020
Online Algorithm for Unsupervised Sequential Selection with Contextual Information,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/08e5d8066881eab185d0de9db3b36c7f-Paper.pdf,2020
What went wrong and when? Instance-wise feature importance for time-series black-box models,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/08fa43588c2571ade19bc0fa5936e028-Paper.pdf,2020
Adapting Neural Architectures Between Domains,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/08f38e0434442128fab5ead6217ca759-Paper.pdf,2020
Towards Better Generalization of Adaptive Gradient Methods,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/08fb104b0f2f838f3ce2d2b3741a12c2-Paper.pdf,2020
The route to chaos in routing games: When is price of anarchy too optimistic?,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0887f1a5b9970ad13f46b8c1485f7900-Paper.pdf,2020
Tree! I am no Tree! I am a low dimensional Hyperbolic Embedding,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/093f65e080a295f8076b1c5722a46aa2-Paper.pdf,2020
Deep Structural Causal Models for Tractable Counterfactual Inference,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0987b8b338d6c90bbedd8631bc499221-Paper.pdf,2020
Learning Guidance Rewards with Trajectory-space Smoothing,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0912d0f15f1394268c66639e39b26215-Paper.pdf,2020
Variance Reduction via Accelerated Dual Averaging for Finite-Sum Optimization,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/093b60fd0557804c8ba0cbf1453da22f-Paper.pdf,2020
A Statistical Framework for Low-bitwidth Training of Deep Neural Networks,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/099fe6b0b444c23836c4a5d07346082b-Paper.pdf,2020
Better Set Representations For Relational Reasoning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/09ccf3183d9e90e5ae1f425d5f9b2c00-Paper.pdf,2020
AutoSync: Learning to Synchronize for Data-Parallel Distributed Deep Learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0a2298a72858d90d5c4b4fee954b6896-Paper.pdf,2020
Hardness of Learning Neural Networks with Natural Weights,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0a4dc6dae338c9cb08947c07581f77a2-Paper.pdf,2020
Higher-Order Spectral Clustering of Directed Graphs,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0a5052334511e344f15ae0bfafd47a67-Paper.pdf,2020
Primal-Dual Mesh Convolutional Neural Networks,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0a656cc19f3f5b41530182a9e03982a4-Paper.pdf,2020
The Advantage of Conditional Meta-Learning for Biased Regularization and Fine Tuning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0a716fe8c7745e51a3185fc8be6ca23a-Paper.pdf,2020
Sinkhorn Barycenter via Functional Gradient Descent,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0a93091da5efb0d9d5649e7f6b2ad9d7-Paper.pdf,2020
Watch out! Motion is Blurring the Vision of Your Deep Neural Networks,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0a73de68f10e15626eb98701ecf03adb-Paper.pdf,2020
Coresets for Near-Convex Functions,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0afe095e81a6ac76ff3f69975cb3e7ae-Paper.pdf,2020
Bayesian Deep Ensembles via the Neural Tangent Kernel,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0b1ec366924b26fc98fa7b71a9c249cf-Paper.pdf,2020
Improved Schemes for Episodic Memory-based Lifelong Learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0b5e29aa1acf8bdc5d8935d7036fa4f5-Paper.pdf,2020
A Combinatorial Perspective on Transfer Learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0a3b6f64f0523984e51323fe53b8c504-Paper.pdf,2020
Convolutional Generation of Textured 3D Meshes,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/098d86c982354a96556bd861823ebfbd-Paper.pdf,2020
Taming Discrete Integration via the Boon of Dimensionality,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0baf163c24ed14b515aaf57a9de5501c-Paper.pdf,2020
Discovering Reinforcement Learning Algorithms,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0b96d81f0494fde5428c7aea243c9157-Paper.pdf,2020
Adaptive Sampling for Stochastic Risk-Averse Learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0b6ace9e8971cf36f1782aa982a708db-Paper.pdf,2020
Deep Wiener Deconvolution: Wiener Meets Deep Learning for Image Deblurring,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0b8aff0438617c055eb55f0ba5d226fa-Paper.pdf,2020
